AetheryteName,FlagX,FlagY,FlagZ,HasRealXYZ,MapName,RealX,RealY,RealZ,RecordedAt,TerritoryId,ZoneName
,525.5,68,-799.6,True,Seemingly Special Timeworn Map,525.5,20.6,-799.7,2026-03-07 02:07:15,614,Yanxia
,505.6,68.3,-33.9,True,Seemingly Special Timeworn Map,505.6,72,-34,2026-03-07 04:20:21,612,The Fringes
,185.5,72.2,-679.8,True,Seemingly Special Timeworn Map,189.6,9.1,-683.1,2026-03-07 04:28:29,621,The Lochs
,-224.2,7.6,-591.6,True,Seemingly Special Timeworn Map,-224,2.9,-591.5,2026-03-07 04:48:22,613,The Ruby Sea
,-295.3,2.9,-237.3,True,Seemingly Special Timeworn Map,-295.1,57.8,-237.2,2026-03-07 04:57:55,612,The Fringes
,-688.2,57.8,413.5,True,Seemingly Special Timeworn Map,-683.6,26.5,408.9,2026-03-07 05:08:22,613,The Ruby Sea
,-658.4,26.5,335.9,True,Seemingly Special Timeworn Map,-657.1,45.1,330.3,2026-03-07 05:22:54,612,The Fringes
,364.9,6.7,60.1,True,Timeworn Leather Map,362.2,8.4,56.4,2026-03-07 18:29:02,148,Central Shroud
,-105.5,6.1,-161.9,True,Timeworn Leather Map,-105.8,6.2,-162,2026-03-07 18:29:42,148,Central Shroud
,63.2,-23.6,272.1,True,Timeworn Leather Map,63.4,-23.5,272.7,2026-03-07 18:30:20,148,Central Shroud
,-408,0.3,87.5,True,Timeworn Leather Map,-408,0.3,87.5,2026-03-07 18:30:52,152,East Shroud
,-315,18,384.1,True,Timeworn Leather Map,-314.9,18.2,384.6,2026-03-07 18:31:20,152,East Shroud
,-209.1,8.8,8.2,True,Timeworn Leather Map,-209.3,8.8,8.3,2026-03-07 18:32:43,153,South Shroud
,-308.6,0.2,405.5,True,Timeworn Leather Map,-308.7,0.2,406.1,2026-03-07 18:33:16,153,South Shroud
,307.1,10.8,-191.7,True,Timeworn Leather Map,307.2,10.8,-191.8,2026-03-07 18:34:28,153,South Shroud
,246.6,-7.3,-3.2,True,Timeworn Leather Map,246.6,-7.3,-3.2,2026-03-07 18:35:06,154,North Shroud
,138.9,62.5,303.4,True,Timeworn Leather Map,142.8,-30.3,297.6,2026-03-07 18:37:25,134,Middle La Noscea
,49.7,53.3,-119.1,True,Timeworn Leather Map,49.5,53.3,-118.9,2026-03-07 18:37:52,134,Middle La Noscea
,62.7,54.3,180.9,True,Timeworn Leather Map,62.6,54.2,180.3,2026-03-07 18:38:37,135,Lower La Noscea
,448.7,57.3,-6.4,True,Timeworn Leather Map,448.6,57.3,-6.3,2026-03-07 18:39:11,135,Lower La Noscea
,-72.3,51.6,542,True,Timeworn Leather Map,-72.2,51.5,542,2026-03-07 18:40:04,135,Lower La Noscea
,269.1,43.2,524.1,True,Timeworn Leather Map,269.2,43.2,524.1,2026-03-07 18:40:32,137,Eastern La Noscea
,52.9,57.2,105.6,True,Timeworn Leather Map,52.6,57.3,105.1,2026-03-07 18:41:09,137,Eastern La Noscea
,-199.4,48.7,590.5,True,Timeworn Leather Map,-199.6,48.8,590.9,2026-03-07 18:41:50,137,Eastern La Noscea
,638.6,40.3,333.2,True,Timeworn Leather Map,628,40.3,330.7,2026-03-07 18:43:30,138,Western La Noscea
,159.8,-11.9,106.2,True,Timeworn Leather Map,155.1,-11.1,104.1,2026-03-07 18:44:07,138,Western La Noscea
,451.3,5.3,277,True,Timeworn Leather Map,451.8,5.4,277.3,2026-03-07 18:44:35,138,Western La Noscea
,688.5,-1,163.2,True,Timeworn Leather Map,689,-1,163.3,2026-03-07 18:45:05,139,Upper La Noscea
,-350.4,-0.8,143.9,True,Timeworn Leather Map,-350.5,-0.8,143.9,2026-03-07 18:46:16,139,Upper La Noscea
,414.9,-1.4,184.3,True,Timeworn Leather Map,415.3,-1.5,184.4,2026-03-07 18:47:08,139,Upper La Noscea
,-361.9,52,-264,True,Timeworn Leather Map,-346.3,52.3,-261.3,2026-03-07 18:48:00,180,Outer La Noscea
,-64,63.8,-280.7,True,Timeworn Leather Map,-71.5,65.1,-281.4,2026-03-07 18:48:50,180,Outer La Noscea
,-52.9,63.8,-219.6,True,Timeworn Leather Map,-56.9,65.1,-221.1,2026-03-07 18:49:18,180,Outer La Noscea
,91.6,16.6,129.5,True,Timeworn Leather Map,91.6,16.6,129.6,2026-03-07 18:49:53,140,Western Thanalan
,140.4,57.2,270.1,True,Timeworn Leather Map,140.4,57.2,270,2026-03-07 18:50:13,140,Western Thanalan
,-250.3,15.8,-338.9,True,Timeworn Leather Map,-250.3,15.8,-339,2026-03-07 18:51:06,140,Western Thanalan
,141.4,4.6,639.7,True,Timeworn Leather Map,140.6,6.2,643,2026-03-07 18:53:38,141,Central Thanalan
,191.7,4.4,-171.5,True,Timeworn Leather Map,185.5,4.9,-177.8,2026-03-07 18:55:58,141,Central Thanalan
,-199.3,24.8,-124,True,Timeworn Leather Map,-195.7,23.9,-129.3,2026-03-07 18:57:17,141,Central Thanalan
,261.3,7.8,-119.2,True,Timeworn Leather Map,261.4,8.3,-129,2026-03-07 19:00:24,145,Eastern Thanalan
