AetheryteName,FlagX,FlagY,FlagZ,HasRealXYZ,MapName,RealX,RealY,RealZ,RecordedAt,TerritoryId,ZoneName
,-590,5.3,60,TRUE,Timeworn Gliderskin Map,-589.9,5.3,59.9,3/12/2026 17:00,815,Amh Araeng
,-459.1,-0.3,-357,TRUE,Timeworn Zonureskin Map,-458.9,-0.3,-357,3/12/2026 18:37,815,Amh Araeng
,-413.7,-63,427.5,TRUE,Timeworn Zonureskin Map,-413.8,-63,427.9,3/12/2026 18:38,815,Amh Araeng
,-400,23.6,-90,TRUE,Timeworn Gliderskin Map,-400.2,23.6,-89.7,3/12/2026 16:56,815,Amh Araeng
,-320,-61.5,320,TRUE,Timeworn Gliderskin Map,-320.5,-61.5,320.1,3/12/2026 17:01,815,Amh Araeng
,-90,35.2,-230,TRUE,Timeworn Gliderskin Map,-92.5,37,-228.9,3/12/2026 16:56,815,Amh Araeng
,-75,50.8,-630,TRUE,Timeworn Gliderskin Map,-74.8,50.8,-630,3/12/2026 16:55,815,Amh Araeng
,-60.9,-41.6,137.3,TRUE,Timeworn Gliderskin Map,-57.6,-40.1,139.1,3/12/2026 17:01,815,Amh Araeng
,270,-39,120,TRUE,Timeworn Zonureskin Map,270.1,-39,119.9,3/12/2026 18:39,815,Amh Araeng
,310.9,-22.4,-426.4,TRUE,Timeworn Zonureskin Map,314.8,-21,-426.8,3/12/2026 18:35,815,Amh Araeng
,440.9,-61.5,462,TRUE,Timeworn Zonureskin Map,441.1,-61.7,462.7,3/12/2026 18:40,815,Amh Araeng
,478,-46.8,147.6,TRUE,Timeworn Gliderskin Map,478.3,-46.8,147.8,3/12/2026 16:57,815,Amh Araeng
,550,-54.9,-642.3,TRUE,Timeworn Zonureskin Map,548.5,-53.1,-640.1,3/12/2026 18:34,815,Amh Araeng
,630,-32.6,-200,TRUE,Timeworn Zonureskin Map,634,-31.9,-197.1,3/12/2026 18:36,815,Amh Araeng
,695.6,-33.3,-371.9,TRUE,Timeworn Gliderskin Map,695.8,-33.3,-371.9,3/12/2026 16:54,815,Amh Araeng
,735,-74.6,-498.2,TRUE,Timeworn Zonureskin Map,735.4,-74.8,-497.8,3/12/2026 18:35,815,Amh Araeng
,-538,65.4,103.7,TRUE,Mysterious Map,-538.1,65.4,103.9,3/8/2026 6:45,148,Central Shroud
,-454.3,56.7,-204.6,TRUE,Timeworn Peisteskin Map,-454.3,56.7,-204.6,3/8/2026 5:49,148,Central Shroud
,-380.9,50.7,5.7,TRUE,Timeworn Boarskin Map,-380.7,50.7,5.6,3/8/2026 4:57,148,Central Shroud
,-289,61.6,-101.9,TRUE,Timeworn Peisteskin Map,-289.1,61.7,-101.9,3/8/2026 5:49,148,Central Shroud
,-285.1,19,102.4,TRUE,Unhidden Leather Map,-285.4,19.1,102.8,3/8/2026 16:11,148,Central Shroud
,-258.4,64,-186.3,TRUE,Timeworn Toadskin Map,-246.9,66.7,-181.8,3/8/2026 2:19,148,Central Shroud
,-192.3,1.9,-38.6,TRUE,Timeworn Goatskin Map,-182.6,1.9,-38.5,3/7/2026 19:13,148,Central Shroud
,-105.5,6.1,-161.9,TRUE,Timeworn Leather Map,-105.8,6.2,-162,3/7/2026 18:29,148,Central Shroud
,-25.3,-32.4,327.4,TRUE,Thorne Dynasty Map,-25.3,-32.4,327.4,3/8/2026 16:37,148,Central Shroud
,-13.4,-33.4,377.1,TRUE,Timeworn Peisteskin Map,-13.4,-33.4,377,3/8/2026 5:47,148,Central Shroud
,-11.2,-34.6,431.5,TRUE,Mysterious Map,-11.2,-34.7,431.3,3/8/2026 6:46,148,Central Shroud
,43.8,-18.8,192,TRUE,Timeworn Boarskin Map,43.6,-18.9,192.4,3/8/2026 4:59,148,Central Shroud
,63.2,-23.6,272.1,TRUE,Timeworn Leather Map,63.4,-23.5,272.7,3/7/2026 18:30,148,Central Shroud
,154.2,-7.7,-15,TRUE,Timeworn Toadskin Map,154,-7.7,-15,3/8/2026 2:18,148,Central Shroud
,154.5,-31,343.6,TRUE,Unhidden Leather Map,154.7,-31,344,3/8/2026 16:10,148,Central Shroud
,163.6,-23.8,530.7,TRUE,Timeworn Goatskin Map,163.7,-23.8,531.1,3/7/2026 19:12,148,Central Shroud
,202.2,-9.4,-18.1,TRUE,Timeworn Goatskin Map,202.3,-9.4,-18.6,3/7/2026 19:12,148,Central Shroud
,215.9,-7.5,-60.4,TRUE,Thorne Dynasty Map,216,-7.5,-60.6,3/8/2026 16:38,148,Central Shroud
,352.1,-2,-38.3,TRUE,Timeworn Boarskin Map,352.5,-1.9,-38.1,3/8/2026 4:58,148,Central Shroud
,364.9,6.7,60.1,TRUE,Timeworn Leather Map,362.2,8.4,56.4,3/7/2026 18:29,148,Central Shroud
,443.4,32,-2.6,TRUE,Timeworn Toadskin Map,443.8,32.1,-2.6,3/8/2026 2:17,148,Central Shroud
,-271.5,20.9,-58.8,TRUE,Timeworn Goatskin Map,-271.6,23.6,-61.9,3/7/2026 20:03,141,Central Thanalan
,-257.3,-31.1,85.7,TRUE,Timeworn Peisteskin Map,-257.3,-31.1,85.7,3/8/2026 6:26,141,Central Thanalan
,-237.1,18.9,-258.5,TRUE,Timeworn Boarskin Map,-237.1,18.9,-258.5,3/8/2026 5:31,141,Central Thanalan
,-210.9,19.1,-443.9,TRUE,Timeworn Peisteskin Map,-211,19.1,-444,3/8/2026 6:26,141,Central Thanalan
,-199.3,24.8,-124,TRUE,Timeworn Leather Map,-195.7,23.9,-129.3,3/7/2026 18:57,141,Central Thanalan
,-170.1,4.2,-8.7,TRUE,Timeworn Toadskin Map,-168.7,4.6,-9.9,3/8/2026 4:35,141,Central Thanalan
,-157,14,-195.7,TRUE,Timeworn Toadskin Map,-156.9,14,-195.5,3/8/2026 4:41,141,Central Thanalan
,-114.8,27.7,-397.7,TRUE,Mysterious Map,-114.7,27.7,-397.6,3/8/2026 15:56,141,Central Thanalan
,-70.9,-4.9,30.8,TRUE,Unhidden Leather Map,-71.1,-4.8,30.9,3/8/2026 16:30,141,Central Thanalan
,-39.1,26.8,-414.4,TRUE,Timeworn Goatskin Map,-28.8,27.2,-416.1,3/7/2026 20:01,141,Central Thanalan
,-3.3,15.5,-312.5,TRUE,Unhidden Leather Map,-3.3,15.5,-312.4,3/8/2026 16:29,141,Central Thanalan
,21.9,13,54.9,TRUE,Timeworn Goatskin Map,21,13,55.1,3/8/2026 3:00,141,Central Thanalan
,40.6,15.6,612.1,TRUE,Timeworn Toadskin Map,41.1,15.6,610.1,3/8/2026 4:38,141,Central Thanalan
,66.3,29.7,-99.3,TRUE,Timeworn Peisteskin Map,66.3,29.7,-99.3,3/8/2026 6:28,141,Central Thanalan
,100.7,3.8,412.8,TRUE,Thorne Dynasty Map,100.9,3.8,413.1,3/8/2026 16:56,141,Central Thanalan
,141.4,4.6,639.7,TRUE,Timeworn Leather Map,140.6,6.2,643,3/7/2026 18:53,141,Central Thanalan
,191.7,4.4,-171.5,TRUE,Timeworn Leather Map,185.5,4.9,-177.8,3/7/2026 18:55,141,Central Thanalan
,209.5,-1.4,-65.8,TRUE,Thorne Dynasty Map,209.4,-1.4,-65.8,3/8/2026 16:55,141,Central Thanalan
,262,15.2,471.4,TRUE,Timeworn Boarskin Map,262.2,15.2,471.5,3/8/2026 5:32,141,Central Thanalan
,300,-15.3,-36.2,TRUE,Timeworn Boarskin Map,300.2,-15.3,-36.2,3/8/2026 5:30,141,Central Thanalan
,411.4,-18.1,-106.3,TRUE,Mysterious Map,411.3,-18.1,-106.4,3/8/2026 15:57,141,Central Thanalan
,-775.7,238.8,-141.9,TRUE,Timeworn Boarskin Map,-775.7,238.8,-142.1,3/8/2026 5:40,155,Coerthas Central Highlands
,-741.7,255.8,436,TRUE,Timeworn Peisteskin Map,-741.8,255.7,436.1,3/8/2026 6:38,155,Coerthas Central Highlands
,-685.8,223,-436.4,TRUE,Timeworn Boarskin Map,-685.7,223,-436.3,3/8/2026 5:44,155,Coerthas Central Highlands
,-622.9,225.9,-52.5,TRUE,Timeworn Peisteskin Map,-623.1,225.9,-52.3,3/8/2026 6:39,155,Coerthas Central Highlands
,-533,244.6,290.8,TRUE,Mysterious Map,-533,244.6,290.9,3/8/2026 16:07,155,Coerthas Central Highlands
,-301.5,220.5,681.6,TRUE,Timeworn Toadskin Map,-301.5,220.6,681.8,3/8/2026 4:52,155,Coerthas Central Highlands
,-288.3,263.9,-133.6,TRUE,Unhidden Leather Map,-288.7,263.8,-133.6,3/8/2026 16:35,155,Coerthas Central Highlands
,-89.7,300.1,-302.1,TRUE,Timeworn Toadskin Map,-89.7,300.1,-302.3,3/8/2026 4:54,155,Coerthas Central Highlands
,68.2,298.1,170.9,TRUE,Timeworn Goatskin Map,68.2,298.1,170.8,3/8/2026 2:15,155,Coerthas Central Highlands
,85.4,358.7,-274.3,TRUE,Mysterious Map,85.3,358.7,-274.2,3/8/2026 16:05,155,Coerthas Central Highlands
,104.8,376.1,-647.1,TRUE,Timeworn Boarskin Map,104.7,376.1,-647.2,3/8/2026 5:42,155,Coerthas Central Highlands
,111.4,292.6,-76.1,TRUE,Timeworn Leather Map,110.1,295.9,-82.2,3/7/2026 19:11,155,Coerthas Central Highlands
,155.3,227.4,289.1,TRUE,Timeworn Leather Map,155,227.3,289.4,3/7/2026 19:10,155,Coerthas Central Highlands
,249.3,311.9,-386.3,TRUE,Timeworn Goatskin Map,249.3,311.9,-386.4,3/8/2026 2:16,155,Coerthas Central Highlands
,327.3,258,117.8,TRUE,Timeworn Leather Map,327.4,257.9,118.3,3/7/2026 19:10,155,Coerthas Central Highlands
,365.6,315.3,-398.2,TRUE,Unhidden Leather Map,365.6,315.3,-398.3,3/8/2026 16:34,155,Coerthas Central Highlands
,460,305.5,-284.8,TRUE,Timeworn Toadskin Map,460.2,305.5,-284.4,3/8/2026 4:50,155,Coerthas Central Highlands
,476.2,248.3,-254.9,TRUE,Timeworn Peisteskin Map,476.1,248.3,-254.6,3/8/2026 6:41,155,Coerthas Central Highlands
,524.8,234.9,303.9,TRUE,Timeworn Goatskin Map,524.8,234.9,304,3/8/2026 2:17,155,Coerthas Central Highlands
,-788.7,106.8,-519.2,TRUE,Timeworn Dragonskin Map,-789,106.9,-519.5,3/8/2026 18:54,397,Coerthas Western Highlands
,-575.3,94.2,-591.4,TRUE,Timeworn Archaeoskin Map,-575.5,94.2,-591.5,3/8/2026 17:25,397,Coerthas Western Highlands
,-522.7,166.7,95.2,TRUE,Timeworn Dragonskin Map,-523,166.7,95.3,3/8/2026 19:02,397,Coerthas Western Highlands
,-340.6,218.8,458.6,TRUE,Timeworn Wyvernskin Map,-340.6,218.8,459.1,3/8/2026 17:52,397,Coerthas Western Highlands
,-326.4,153.2,29.1,TRUE,Timeworn Wyvernskin Map,-326.7,153.2,28.8,3/8/2026 17:52,397,Coerthas Western Highlands
